hour, ozeOutput, coalPlantOutput, ozeLimit, SoC, currentDemand, balance, status
1, 1798.7, 0.0, 99999.0,100, 133.00, 1665.68, STABLE
2, 383.0, 0.0, 383.0,100, 60.00, 323.00, STABLE
3, 60.0, 0.0, 60.0,73, 193.00, 0.00, CRITICAL
4, 1768.3, 0.0, 99999.9,100, 193.00, 1575.32, STABLE
5, 326.0, 0.0, 326.0,100, 193.00, 133.00, STABLE
6, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
7, 1003.3, 0.0, 99999.0,100, 459.00, 544.31, STABLE
8, 459.0, 0.0, 459.0,94, 489.00, 0.00, CRITICAL
9, 1597.4, 0.0, 99999.9,100, 489.00, 1108.44, STABLE
10, 519.0, 0.0, 519.0,100, 489.00, 30.00, STABLE
11, 489.0, 0.0, 489.0,100, 459.00, 30.00, STABLE
12, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
13, 1281.4, 0.0, 99999.0,100, 509.00, 772.43, STABLE
14, 509.0, 0.0, 509.0,100, 459.00, 50.00, STABLE
15, 459.0, 0.0, 459.0,90, 509.00, 0.00, CRITICAL
16, 1621.7, 0.0, 99999.9,100, 459.00, 1162.71, STABLE
17, 509.0, 0.0, 509.0,100, 459.00, 50.00, STABLE
18, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
19, 1132.7, 0.0, 99999.0,100, 489.00, 643.67, STABLE
20, 489.0, 0.0, 489.0,100, 223.00, 266.00, STABLE
21, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
22, 1300.8, 0.0, 99999.0,100, 223.00, 1077.76, STABLE
23, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
0, 1890.1, 0.0, 99999.0,100, 193.00, 1697.13, STABLE
1, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
2, 2072.5, 0.0, 99999.0,100, 193.00, 1879.54, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 1955.2, 0.0, 99999.0,100, 193.00, 1762.22, STABLE
5, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
6, 1610.6, 0.0, 99999.0,100, 193.00, 1417.57, STABLE
7, 193.0, 0.0, 193.0,47, 459.00, 0.00, CRITICAL
8, 1365.8, 0.0, 99999.9,100, 489.00, 876.75, STABLE
9, 755.0, 0.0, 755.0,100, 489.00, 266.00, STABLE
10, 489.0, 0.0, 489.0,100, 489.00, 0.00, STABLE
11, 1450.9, 0.0, 99999.0,100, 459.00, 991.92, STABLE
12, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
13, 1251.5, 0.0, 99999.0,100, 459.00, 792.52, STABLE
14, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
15, 1632.8, 0.0, 99999.0,100, 459.00, 1173.77, STABLE
16, 459.0, 0.0, 459.0,90, 509.00, 0.00, CRITICAL
17, 1295.0, 0.0, 99999.9,100, 509.00, 785.97, STABLE
18, 559.0, 0.0, 559.0,100, 459.00, 100.00, STABLE
19, 459.0, 0.0, 459.0,94, 489.00, 0.00, CRITICAL
20, 1639.0, 0.0, 99999.9,100, 223.00, 1415.98, STABLE
21, 253.0, 0.0, 253.0,100, 223.00, 30.00, STABLE
22, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
23, 1342.8, 0.0, 99999.0,100, 223.00, 1119.81, STABLE
0, 223.0, 0.0, 223.0,100, 193.00, 30.00, STABLE
1, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
2, 1095.0, 0.0, 99999.0,100, 193.00, 902.01, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 1797.7, 0.0, 99999.0,100, 193.00, 1604.69, STABLE
5, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
6, 2132.6, 0.0, 99999.0,100, 193.00, 1939.56, STABLE
7, 193.0, 0.0, 193.0,37, 509.00, 0.00, CRITICAL
8, 2261.0, 0.0, 99999.9,100, 539.00, 1722.00, STABLE
9, 855.0, 0.0, 855.0,100, 489.00, 366.00, STABLE
10, 489.0, 0.0, 489.0,100, 489.00, 0.00, STABLE
11, 1713.7, 0.0, 99999.0,100, 509.00, 1204.65, STABLE
12, 509.0, 0.0, 509.0,100, 459.00, 50.00, STABLE
13, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
14, 2078.5, 0.0, 99999.0,100, 459.00, 1619.52, STABLE
15, 459.0, 0.0, 459.0,90, 509.00, 0.00, CRITICAL
16, 1313.1, 0.0, 99999.9,100, 459.00, 854.07, STABLE
17, 509.0, 0.0, 509.0,100, 459.00, 50.00, STABLE
18, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
19, 883.7, 0.0, 99999.0,100, 489.00, 394.68, STABLE
20, 489.0, 0.0, 489.0,100, 223.00, 266.00, STABLE
21, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
22, 1075.0, 0.0, 99999.0,100, 223.00, 851.98, STABLE
23, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
0, 1823.0, 0.0, 99999.0,100, 193.00, 1629.98, STABLE
1, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
2, 1926.4, 0.0, 99999.0,100, 193.00, 1733.44, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 1646.1, 0.0, 99999.0,100, 193.00, 1453.12, STABLE
5, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
6, 1785.9, 0.0, 99999.0,100, 193.00, 1592.89, STABLE
7, 193.0, 0.0, 193.0,47, 459.00, 0.00, CRITICAL
8, 2363.4, 0.0, 99999.9,100, 489.00, 1874.44, STABLE
9, 755.0, 0.0, 755.0,100, 489.00, 266.00, STABLE
10, 489.0, 0.0, 489.0,100, 489.00, 0.00, STABLE
11, 1841.6, 0.0, 99999.0,100, 459.00, 1382.62, STABLE
12, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
13, 2445.8, 0.0, 99999.0,100, 459.00, 1986.84, STABLE
14, 459.0, 0.0, 459.0,90, 509.00, 0.00, CRITICAL
15, 2326.8, 0.0, 99999.9,100, 509.00, 1817.82, STABLE
16, 559.0, 0.0, 559.0,100, 459.00, 100.00, STABLE
17, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
18, 2123.8, 0.0, 99999.0,100, 459.00, 1664.81, STABLE
19, 459.0, 0.0, 459.0,94, 489.00, 0.00, CRITICAL
20, 1622.4, 0.0, 99999.9,100, 223.00, 1399.39, STABLE
21, 253.0, 0.0, 253.0,100, 223.00, 30.00, STABLE
22, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
23, 1808.2, 0.0, 99999.0,100, 223.00, 1585.18, STABLE
0, 223.0, 0.0, 223.0,100, 193.00, 30.00, STABLE
1, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
2, 1143.9, 0.0, 99999.0,100, 193.00, 950.92, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 1984.3, 0.0, 99999.0,100, 193.00, 1791.27, STABLE
5, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
6, 1530.8, 0.0, 99999.0,100, 193.00, 1337.78, STABLE
7, 193.0, 0.0, 193.0,47, 459.00, 0.00, CRITICAL
8, 1330.6, 0.0, 99999.9,100, 589.00, 741.57, STABLE
9, 855.0, 0.0, 855.0,100, 539.00, 316.00, STABLE
10, 539.0, 0.0, 539.0,100, 539.00, 0.00, STABLE
11, 2109.4, 0.0, 99999.0,100, 459.00, 1650.42, STABLE
12, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
13, 2064.1, 0.0, 99999.0,100, 459.00, 1605.13, STABLE
14, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
15, 2244.2, 0.0, 99999.0,100, 459.00, 1785.16, STABLE
16, 459.0, 0.0, 459.0,100, 459.00, 0.00, STABLE
17, 1550.5, 0.0, 99999.0,100, 459.00, 1091.51, STABLE
