hour, ozeOutput, coalPlantOutput, ozeLimit, SoC, currentDemand, balance, status
1, 792.7, 0.0, 99999.0,100, 35.00, 757.70, STABLE
2, 285.0, 0.0, 285.0,100, 193.00, 92.00, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 541.3, 0.0, 99999.0,100, 193.00, 348.26, STABLE
5, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
6, 429.5, 0.0, 99999.0,100, 193.00, 236.47, STABLE
7, 193.0, 0.0, 193.0,46, 464.00, 0.00, CRITICAL
8, 456.0, 0.0, 99999.9,39, 489.00, 0.00, CRITICAL
9, 564.9, 0.0, 99999.9,54, 489.00, 75.93, STABLE
10, 518.8, 0.0, 99999.0,61, 484.00, 34.77, STABLE
11, 447.4, 0.0, 99999.0,59, 459.00, 0.00, CRITICAL
12, 390.8, 0.0, 99999.9,45, 459.00, 0.00, CRITICAL
13, 442.3, 0.0, 99999.9,42, 459.00, 0.00, CRITICAL
14, 436.5, 0.0, 99999.9,38, 459.00, 0.00, CRITICAL
15, 511.1, 0.0, 99999.9,48, 459.00, 52.11, STABLE
16, 497.5, 0.0, 99999.0,56, 459.00, 38.49, STABLE
17, 467.9, 0.0, 99999.0,57, 459.00, 8.85, STABLE
18, 531.8, 0.0, 99999.0,71, 464.00, 67.76, STABLE
19, 303.6, 0.0, 99999.0,34, 489.00, 0.00, CRITICAL
20, 389.0, 0.0, 99999.9,67, 223.00, 166.05, STABLE
21, 233.5, 0.0, 99999.0,69, 223.00, 10.55, STABLE
22, 308.3, 0.0, 99999.0,86, 223.00, 85.28, STABLE
23, 247.1, 0.0, 99999.0,92, 218.00, 29.07, STABLE
0, 421.5, 0.0, 99999.0,100, 193.00, 228.51, STABLE
1, 232.5, 0.0, 232.5,100, 193.00, 39.54, STABLE
2, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
3, 621.7, 0.0, 99999.0,100, 193.00, 428.73, STABLE
4, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
5, 809.9, 0.0, 99999.0,100, 193.00, 616.91, STABLE
6, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
7, 772.3, 0.0, 99999.0,100, 464.00, 308.25, STABLE
8, 464.0, 0.0, 464.0,85, 539.00, 0.00, CRITICAL
9, 725.6, 0.0, 99999.9,100, 489.00, 236.61, STABLE
10, 564.0, 0.0, 564.0,100, 484.00, 80.00, STABLE
11, 484.0, 0.0, 484.0,100, 459.00, 25.00, STABLE
12, 459.0, 0.0, 459.0,90, 509.00, 0.00, CRITICAL
13, 644.7, 0.0, 99999.9,100, 459.00, 185.65, STABLE
14, 509.0, 0.0, 509.0,100, 459.00, 50.00, STABLE
15, 459.0, 0.0, 459.0,100, 424.00, 35.00, STABLE
16, 424.0, 0.0, 424.0,93, 459.00, 0.00, CRITICAL
17, 616.7, 0.0, 99999.9,100, 459.00, 157.69, STABLE
18, 457.9, 0.0, 494.0,100, 459.00, 0.00, CRITICAL
19, 589.7, 0.0, 99999.9,100, 539.00, 50.68, STABLE
20, 540.1, 0.0, 540.1,100, 223.00, 317.09, STABLE
21, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
22, 798.8, 0.0, 99999.0,100, 223.00, 575.84, STABLE
23, 223.0, 0.0, 223.0,100, 223.00, 0.00, STABLE
0, 673.7, 0.0, 99999.0,100, 193.00, 480.73, STABLE
1, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
2, 592.4, 0.0, 99999.0,100, 193.00, 399.43, STABLE
3, 193.0, 0.0, 193.0,100, 193.00, 0.00, STABLE
4, 630.2, 0.0, 99999.0,100, 193.00, 437.21, STABLE
